i       i[0]    i[1]    i[2]    i[3]    i[4]    i[5]    i[6]    i[7]    i[8]    i[9]    i[10]
0       0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
1       0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
2       0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
3       8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
4       0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
5       8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
6       8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
7       8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
8       4,60    3,00    3,35    3,33    3,30    3,01    3,73    3,36    4,80    3,38    3,42
9       8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
10      0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
11      8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00    8,00
12      0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
13      0,39    0,66    0,65    0,67    0,70    0,68    0,45    0,65    0,46    0,63    0,59
